pincode,city,state,pickup,delivery,zone
110512,Delhi,Delhi,Y,Y,d
110601,Delhi,Delhi,Y,Y,d
110602,Delhi,Delhi,Y,Y,d
110603,Delhi,Delhi,Y,Y,d
110604,Delhi,Delhi,Y,Y,d
110605,Delhi,Delhi,Y,Y,d
110606,Delhi,Delhi,Y,Y,d
110607,NEW DELHI,Delhi,Y,Y,d
110608,Delhi,Delhi,Y,Y,d
110609,Delhi,Delhi,Y,Y,d
110610,Delhi,Delhi,N,N,d
110611,Delhi,Delhi,N,N,d
111000,Delhi Ncr,Delhi,Y,Y,d
111001,Delhi,Delhi,N,N,d
111100,Delhi Ncr,Delhi,Y,Y,d
111105,Delhi,Delhi,N,N,d
111110,Delhi Ncr,Delhi,Y,Y,d
111111,Delhi NCR,Delhi,Y,Y,d
111112,Delhi,Delhi,Y,Y,d
111113,Delhi,Delhi,N,N,d
111114,Delhi,Delhi,N,N,d
111119,Delhi,Delhi,N,N,d
111120,Delhi,Delhi,Y,Y,d
111121,Delhi,Delhi,N,N,d
111123,New Delhi,Delhi,N,Y,d
114145,Vijaypur,Jammu And Kashmir,Y,Y,e
116019,Delhi,Delhi,N,N,d
119199,Delhi,Delhi,N,N,d
120001,Faridabad,Haryana,N,Y,d
120002,Gurgaon,Haryana,N,Y,d
120004,FARIDABAD,HARYANA,N,N,d
121000,Faridabad,Haryana,Y,Y,d
121001,Faridabad,Haryana,Y,Y,d
121002,Faridabad,Haryana,Y,Y,d
121003,Faridabad,Haryana,Y,Y,d
121004,Faridabad,Haryana,Y,Y,d
121005,Faridabad,Haryana,Y,Y,d
121006,Faridabad,Haryana,Y,Y,d
121007,Faridabad,Haryana,Y,Y,d
121008,Faridabad,Haryana,Y,Y,d
121009,Faridabad,Haryana,Y,Y,d
121010,Faridabad,Haryana,Y,Y,d
121011,Faridabad,Haryana,Y,Y,d
121012,Faridabad,Haryana,Y,Y,d
121013,Faridabad,Haryana,Y,Y,d
121014,Faridabad,Haryana,Y,Y,d
121015,Faridabad,Haryana,Y,Y,d
121101,Faridabad,Haryana,Y,Y,d
121102,Palwal,Haryana,Y,Y,d
121103,Palwal,Haryana,Y,Y,d
121104,Nuh,Haryana,Y,Y,d
121105,Palwal,Haryana,Y,Y,d
121106,Hodal,Haryana,Y,Y,d
121107,Hodal,Haryana,Y,Y,d
121206,Delhi Ncr,Delhi,Y,Y,d
121705,Mau,Uttar Pradesh,Y,Y,d
122000,Gurgaon,Haryana,Y,Y,d
122001,Gurgaon,Haryana,Y,Y,d
122002,Gurgaon,Haryana,Y,Y,d
122003,Gurgaon,Haryana,Y,Y,d
122004,Gurgaon,Haryana,Y,Y,d
122005,Gurgaon,Haryana,Y,Y,d
122006,Gurgaon,Haryana,Y,Y,d
122007,Gurgaon,Haryana,Y,Y,d
122008,Gurgaon,Haryana,Y,Y,d
122009,Gurgaon,Haryana,Y,Y,d
122010,Gurgaon,Haryana,Y,Y,d
122011,Gurgaon,Haryana,Y,Y,d
122012,Gurgaon,Haryana,Y,Y,d
122013,Gurgaon,Haryana,Y,Y,d
122014,Gurgaon,Haryana,Y,Y,d
122015,Gurgaon,Haryana,Y,Y,d
122016,Gurgaon,Haryana,Y,Y,d
122017,Gurgaon,Haryana,Y,Y,d
122018,Gurgaon,Haryana,Y,Y,d
122019,Gurgaon,Haryana,Y,Y,d
122020,Gurgaon,Haryana,Y,Y,d
122021,Gurgaon,Haryana,Y,Y,d
122022,Gurgaon,Haryana,Y,Y,d
122023,Gurgaon,Haryana,N,N,d
122024,Gurgaon,Haryana,N,N,d
122025,Gurgaon,Haryana,N,N,d
122026,Gurgaon,Haryana,N,N,d
122027,Gurgaon,Haryana,N,N,d
122028,Gurgaon,Haryana,N,N,d
122029,Gurgaon,Haryana,N,N,d
122030,Gurgaon,Haryana,N,N,d
122031,Gurgaon,Haryana,N,N,d
122032,Gurgaon,Haryana,N,N,d
122033,Gurgaon,Haryana,N,N,d
122050,Gurgaon,Haryana,Y,Y,d
122051,Gurgaon,Haryana,Y,Y,d
122052,Gurgaon,Haryana,Y,Y,d
122053,Delhi Ncr,Delhi,Y,Y,d
122054,Delhi Ncr,Delhi,N,Y,d
122055,Gurgaon,Haryana,Y,Y,d
122098,Gurgaon,Haryana,Y,Y,d
122100,Bhiwadi,Rajasthan,Y,Y,d
122101,Gurgaon,Haryana,Y,Y,d
122102,Gurgaon,Haryana,Y,Y,d
122103,Sohna,Haryana,Y,Y,d
122104,Nuh,Haryana,Y,Y,d
122105,Sohna,Haryana,Y,Y,d
122106,Bhiwadi,Rajasthan,Y,Y,d
122107,Nuh,Haryana,Y,Y,d
122108,Nuh,Haryana,Y,Y,d
122109,Gurgaon,Haryana,Y,Y,d
122110,Bhiwadi,Rajasthan,Y,Y,d
122203,Gurgaon,Haryana,Y,Y,d
122204,Gurgaon,Haryana,Y,Y,d
122206,Gurgaon,Haryana,Y,Y,d
122207,Gurgaon,Haryana,Y,Y,d
122208,Gurgaon,Haryana,Y,Y,d
122209,Gurgaon,Haryana,Y,Y,d
122210,Gurgaon,Haryana,Y,Y,d
122211,Gurgaon,Haryana,Y,Y,d
122213,Gurgaon,Haryana,Y,Y,d
122214,Delhi,Delhi,Y,Y,d
122215,Gurgaon,Haryana,Y,Y,d
122216,Gurgaon,Haryana,Y,Y,d
122217,Gurgaon,Haryana,Y,Y,d
122218,Gurgaon,Haryana,Y,Y,d
122219,Gurgaon,Haryana,Y,Y,d
122220,Gurgaon,Haryana,Y,Y,d
122223,Delhi,Delhi,Y,Y,d
122224,Gurgaon,Haryana,Y,Y,d
122225,Gurgaon,Haryana,Y,Y,d
122226,Delhi,Delhi,Y,Y,d
122227,Gurgaon,Haryana,Y,Y,d
122228,Delhi,Delhi,Y,Y,d
122229,Delhi,Delhi,Y,Y,d
122230,Delhi,Delhi,Y,Y,d
122231,Gurgaon,Haryana,Y,Y,d
